text,label,num_label
জোরে না বললে কেউ শুনতে পাবে না,Simple,0
সন্ধ্যা হলে বাড়ি ফিরব,Simple,0
স্টেশনে এলেই ট্রেনটা ছেড়ে দিল,Simple,0
সূর্য উঠলে কুয়াশা দূর হয়,Simple,0
যেতে পারলেও কেন যাব,Simple,0
মুষলধারে বৃষ্টি হচ্ছে বলে রাস্তায় জল জমবে,Simple,0
বর্ষাকালে মেঘের দেখা নেই,Simple,0
জোরে বলো নাহলে কেউ শুনতে পাবে না,Compound,2
সন্ধ্যা হবে এবং ফিরব,Compound,2
স্টেশন এলাম আর ট্রেনটা ছেড়ে দিল,Compound,2
সূর্য ওঠে এবং কুয়াশা দূর হয়,Compound,2
যেতে পারি কিন্তু কেন যাব,Compound,2
মুষলধারে বৃষ্টি হচ্ছে তাই রাস্তায় জল জমবে,Compound,2
বর্ষাকাল কিন্তু মেঘের দেখা নেই,Compound,2
যদি জোরে না বলো তবে কেউ শুনতে পাবে না,Complex,1
যখন সন্ধ্যা হবে তখন ফিরব,Complex,1
যখন স্টেশন এলাম তখন ট্রেনটা ছেড়ে দিল,Complex,1
যখন সূর্য ওঠে তখন কুয়াশা দূর হয়,Complex,1
যেহেতু যেতে পারি সেহেতু কেন যাব,Complex,1
যেহেতু মুষলধারে বৃষ্টি হচ্ছে সেহেতু রাস্তায় জল জমবে,Complex,1
যদিও বর্ষাকাল তবুও মেঘের দেখা নেই,Complex,1
দিলে নিতে হবে,Simple,0
বৃষ্টি হলে ব্যাঙের ডাক শুরু হয়,Simple,0
এই জঙ্গলে মানুষ বাস করে,Simple,0
সে পড়াশোনা করে বলেই সকলে তাকে ভালোবাসে,Simple,0
রোদ উঠলে খেলতে হবে,Simple,0
কাদামাখানো রাস্তাটি চওড়া,Simple,0
রাত হলে বাইরে যেও না,Simple,0
সরল লোকটি জ্ঞানী,Simple,0
দেবে এবং নেবে,Compound,2
বৃষ্টি এল এবং ব্যাঙের ডাক শুরু হল,Compound,2
এটা জঙ্গল কিন্তু মানুষ বাস করে,Compound,2
"সে পড়াশোনা করে, তাই সকলে তাকে ভালোবাসে",Compound,2
"রোদ উঠেছে, তাই খেলতে যাব",Compound,2
কাদামাখানো কিন্তু রাস্তাটি চওড়া,Compound,2
"এখন রাত, তাই বাইরে যেও না",Compound,2
লোকটি সরল এবং জ্ঞানী,Compound,2
যখন দেবে তখন নেবে,Complex,1
যেই বৃষ্টি এল সেই ব্যাঙের ডাক শুরু হল,Complex,1
যদিও এটা জঙ্গল তবুও মানুষ বাস করে,Complex,1
যেহেতু সে পড়াশোনা করে সেহেতু সকলে তাকে ভালোবাসা,Complex,1
যেহেতু রোদ উঠেছে সেহেতু খেলতে যাব,Complex,1
যদিও কাদা তবুও রাস্তাটি চওড়া,Complex,1
যেহেতু এখন রাত সেহেতু বাইরে যেও না,Complex,1
যদিও লোকটি সরল তথাপি সে জ্ঞানী,Complex,1
বুঝে লিখিবে,Simple,0
সংবাদটি শুনে সে বিস্মিত হলো,Simple,0
বলেই সে বাড়িমুখো রওনা দিল,Simple,0
বিজ্ঞানীরা ভূত বিশ্বাস করেন না,Simple,0
দিলে নিয়ো,Simple,0
কর্ম অনুসারে ফল,Simple,0
পাখিগুলো নীল আকাশে উড়ছে,Simple,0
তিনি ভাত খেয়ে ঘুমিয়ে পড়লেন,Simple,0
তিনি খুব সকালে ঘুম থেকে উঠে পায়চারি করতে করতে বাজারের দিকে গেলেন,Simple,0
বুঝবে তারপর লিখবে,Compound,2
সে সংবাদটি শুনলো এবং বিস্মিত হলো,Compound,2
সে বললো এবং বাড়িমুখো রওনা দিলো,Compound,2
বিজ্ঞানী ফলে তারা ভূত বিশ্বাস করে না,Compound,2
কর্ম কর এবং ফল পাবে,Compound,2
নীল আকাশ ফলে পাখিগুলো উড়ছে,Compound,2
তিনি ভাত খেলেন এবং ঘুমিয়ে পড়লেন,Compound,2
তিনি খুব সকালে ঘুম উঠলেন এবং পায়চারি করতে করতে বাজারের দিকে গেলেন,Compound,2
যখন বুঝবে তখন লিখবে,Complex,1
যখন সে সংবাদটি শুনল তখন সে বিস্মিত হল,Complex,1
যেমনি বলল অমনি সে বাড়িমুখো রওনা দিল,Complex,1
যারা বিজ্ঞানী তাঁরা ভূত বিশ্বাস করেন না,Complex,1
যদি দেয় তবে নিয়ো,Complex,1
যেমন কর্ম তেমন ফল,Complex,1
যেহেতু নীল আকাশ সেহেতু পাখিগুলো উড়ছে,Complex,1
যিনি ভাত খেলেন তিনি ঘুমিয়ে পড়লেন,Complex,1
যিনি খুব সকালে ঘুম উঠলেন তিনি পায়চারি করতে করতে বাজারের দিকে গেলেন,Complex,1
আমার ভাই এখানে এসেছিলো,Simple,0
তুমি গেলে তার দেখা পাবে,Simple,0
হামিদ বই পড়ছে বলে সীমা রান্না করছে,Simple,0
সে পড়তে বসলো ঘর ঝাড়ু মুছার পরে,Simple,0
অন্ধকার হয়ে এসেছে বন্ধুরাও মুখ ভার করে রইল,Simple,0
তোমরা চেষ্টা করেও আশানুরুপ ফল পাওনি,Simple,0
তিনি ভাত খেয়ে চেয়ারে বসলেন,Simple,0
ছেলেটি এখানে এসেছিল সুতারং সে আমার ভাই,Compound,2
তুমি যাও এবং তার দেখা পাবে,Compound,2
"হামিদ বই পড়ছে, আর সীমা রান্না করছে",Compound,2
"সে ঘর ঝাড়ু দিল, ঘর মুছল, তারপর পড়তে বসল",Compound,2
অন্ধকার হয়ে এসেছে এবং বন্ধুরাও মুখ ভার করে রইল,Compound,2
"তোমরা চেষ্টা করেছ, কিন্তু আশানুরূপ ফল পাওনি",Compound,2
তিনি ভাত খেলেন এবং চেয়ারে বসলেন,Compound,2
"যে ছেলেটি এখানে এসেছিল, সে আমার ভাই",Complex,1
"যদি তুমি যাও, তবে তার দেখা পাবে",Complex,1
যেহেতু হামিদ বই পড়ছে সেহেতু সীমা রান্না করছে,Complex,1
সে যখন ঘর ঝাড়ু মুছলো তখন সে পড়তে বসলো,Complex,1
যখন অন্ধকার হয়ে আসছে তখন বন্ধুরাও মুখ ভার করে রেখেছে,Complex,1
যারা চেষ্টা করেছে তারা আশানুরুপ ফল পাইনি,Complex,1
যখন তিনি ভাত খেলেন তখন চেয়ারে বসলেন,Complex,1
"যদি তুমি না যাও, তবে তার দেখা পাবে না",Complex,1
পাখিগুলো আকাশে উড়ছে,Simple,0
তিনি ভাত খেয়ে পড়তে বসলেন,Simple,0
বৃষ্টি নামার সাথে সাথে আমরা ছাতা খুঁজতে শুরু করলাম,Simple,0
পরিশ্রমীরা জীবনে সফল হয়,Simple,0
খারাপ সংবাদ পাওয়ার কারনে তার দুঃখ হলো,Simple,0
দেশপ্রেমিকেরা দেশকে ভালোবাসে,Simple,0
অন্ধজনে আলো দাও,Simple,0
আমি সাক্ষী চাই না,Simple,0
সত্য কথা না বলে বিপদে পড়েছি,Simple,0
বার্ধক্যকে সব সময় বয়সের ফ্রেমে বাঁধা যায় না,Simple,0
কীর্তিমানের মৃত্যু নেই,Simple,0
তুমি যদি না যাও ফলে তার দেখা পাবে না,Complex,1
আকাশ ফলে পাখিগুলো উড়ছে,Compound,2
তিনি ভাত খেলেন এবং পড়তে বসলেন,Compound,2
তিনি ভাত খেলেন এবং ঘুমিয়ে পড়লেন,Compound,2
যখন বৃষ্টি নামল এবং আমরা ছাতা খুঁজতে শুরু করলাম,Compound,2
পরিশ্রমের ফলে জীবনে সফল হয়,Compound,2
খারাপ সংবাদ পেল এবং তার দুঃখ হলো,Compound,2
দেশকে ভালোবাসে সুতরাং তারাই দেশপ্রেমিক,Compound,2
যে অন্ধ তাকে আলো দাও,Compound,1
সাক্ষী এমন সুতরাং আমি চাই না,Compound,2
সত্য কথা বলিনি তাই বিপদে পড়েছি,Compound,2
বার্ধক্যতা ফলে বয়সের ফ্রেমে বাঁধা যায় না,Compound,2
কীর্তিমান ফলে মৃত্যু নেই,Compound,2
যখন তুমি যাবে না তখন তার দেখা পাবে না,Complex,1
যারা পাখি তারাই আকাশে উড়ে,Complex,1
যখন তিনি ভাত খেলেন তখন পড়তে বসলেন,Complex,1
যখন তিনি ভাত খেলেন তখন তিনি ঘুমিয়ে পড়লেন,Complex,1
"যখন বৃষ্টি নামল, তখন আমরা ছাতা খুঁজতে শুরু করলাম",Complex,1
"যারা পরিশ্রম করে, তারা জীবনে সফল হয়",Complex,1
"যখন সে খারাপ সংবাদ পেল, তখন তার দুঃখ হলো",Complex,1
যারা দেশপ্রেমিক তারা দেশকে ভালোবাসে,Complex,1
যে সাক্ষী এমন তাকে আমি চাই না,Complex,1
যেহেতু সত্য কথা বলিনি সেহেতু বিপদে পড়েছি,Complex,1
"যা বার্ধক্য, তাকে সব সময় বয়সের ফ্রেমে বাঁধা যায় না",Complex,1
যারা কীর্তিমান তাদের মৃত্যু নেই,Complex,1
ছেলেটি অসুস্থতার জন্য অনুপস্থিত,Simple,0
পরিশ্রমীরাই সফল হয়,Simple,0
লোকটি কৃপণ হওয়া স্বত্তেও গরীব,Simple,0
তোমরা চেষ্টা না করার কারনে আশানুরূপ ফল পাওনি,Simple,0
তিনি ভাত খেয়ে মেজেতে নাচলেন,Simple,0
"অন্ধকার হয়ে আসছে, এখনো আমরা হোটেলে পৌঁছাইনি",Simple,0
আমি চা পছন্দ করি সেজন্য আমার বোন কফি পছন্দ করে,Simple,2
আমরা বাজারে গিয়েছিলাম সেজন্য সব সবজি কিনলাম,Simple,2
দ্রুত প্রস্তুত না হলে আপনার স্কুলে দেরি হতে পারে,Simple,0
শীলা একটি কুকুর কিনে তার নাম রাখল টমি,Simple,0
"বৃষ্টি হচ্ছিল, তাই ম্যাচটি বাতিল করা হয়েছিল",Simple,2
সে ডায়েটে থাকা স্বত্তেও সে এটা খেতে ভালোবাসে,Simple,0
সে একজন বাধ্য শিশু হওয়া স্বত্তেও রাজ নেতা নির্বাচিত হলেন,Simple,0
আমি আগামীকাল পার্টিতে যোগ দেওয়ার কারনে আমার একটু দেরি হবে,Simple,0
ছেলেটি অসুস্থ এবং অনুপস্থিত,Compound,2
যে মানুষ পরিশ্রমী করে সুতরাং তার সফলতা হয়,Compound,2
লোকটি কৃপণ এবং গরীব,Compound,2
"তোমরা চেষ্টা করনি, তাই আশানুরূপ ফল পাওনি",Compound,2
তিনি ভাত খেলেন এবং মেজেতে নাচলেন,Compound,2
অন্ধকার হচ্ছে এবং আমরা হোটেলে পৌঁছাইনি,Compound,2
"আমি চা পছন্দ করি, কিন্তু আমার বোন কফি পছন্দ করে",Compound,2
"আমরা বাজারে গিয়েছিলাম, এবং সব সবজি কিনলাম",Compound,2
"দ্রুত প্রস্তুত হন, নতুবা আপনার স্কুলে দেরি হতে পারে",Compound,2
শিলা একটা কুকুর কিনেছে এবং তার নাম রাখলাম টমি,Compound,2
বৃষ্টি হচ্ছিল এবং ম্যাচ বাতিল হয়েছে,Compound,2
সে এটা খেতে ভালোবাসে এবং এখন ডায়েটে আছে,Compound,2
রাজ নেতা নির্বাচিত হলেন এবং সে একজন বাধ্য শিশু,Compound,2
আমি আগামীকাল পার্টিতে যোগ দেব এবং আমার একটু দেরি হবে,Compound,2
যে ছেলেটি অসুস্থ সে অনুপস্থিত,Complex,1
যারা পরিশ্রমী তারা সফল হয়,Complex,1
যেহেতু লোকটি কৃপণ সেহেতু গরীব,Complex,1
যেহেতু চেষ্টা করনি সেহেতু আশানুরূপ ফল পাওনি,Complex,1
যিনি ভাত খেলেন তিনি মেজেতে নাচলেন,Complex,1
যেহেতু অন্ধকার হচ্ছে সেহেতু আমরা হোটেলে পৌঁছাইনি,Complex,1
যেহেতু আমি চা পছন্দ করি সেহেতু আমার বোন কফি পছন্দ করে,Complex,1
যেহেতু আমরা বাজারে গিয়েছিলাম সেহেতু সব সবজি কিনলাম,Complex,1
যিনি দ্রুত প্রস্তুত হবেন না তিনি স্কুলে দেরি করবে,Complex,1
যেহেতু শিলা একটা কুকুর কিনেছে সেহেতু তার নাম রাখলাম টমি,Complex,1
যেহেতু বৃষ্টি হচ্ছিল সেহেতু ম্যাচ বাতিল হয়েছে,Complex,1
যেহেতু সে এটা খেতে ভালোবাসে সেহেতু এখন ডায়েটে আছে,Complex,1
যে রাজ নেতা নির্বাচিত হলেন সে একজন বাধ্য শিশু,Complex,1
যেহেতু আমি আগামীকাল পার্টিতে যোগ দেব সেহেতু আমার একটু দেরি হবে,Complex,1
সে চাকরি পছন্দ না করা স্বত্তেও কাজ চালিয়ে গেছেন,Simple,0
তার পরীক্ষা আছে স্বত্তেও অংশ নেয়নি,Simple,0
সোনা একজন ভালো নৃত্যশিল্পী হওয়া স্বত্তেও ভালো গায়িকা,Simple,0
রোহান খুব মেধাবী ছাত্র স্বত্তেও একটু দুষ্টু,Simple,0
আমি অনেক আগে লেখা শুরু করেছিলাম এখনো শেষ করিনি,Simple,0
সে বৃষ্টিতে পড়ে যাওয়ার কারনে সব ভিজে গিয়েছিল,Simple,0
সে চাকরি পছন্দ করেনি এবং তিনি কাজ চালিয়ে গেছেন,Compound,2
"আজ তার একটি পরীক্ষা আছে, কিন্তু সে এতে অংশ নেয়নি",Compound,2
সোনা একজন ভালো নৃত্যশিল্পী এবং একজন মহান গায়ক,Compound,2
"রোহান খুব মেধাবী ছাত্র, কিন্তু সে একটু দুষ্টু",Compound,2
আমি অনেক আগে লেখা শুরু করেছি এবং তবুও আমি শেষ করিনি,Compound,2
সে বৃষ্টিতে পড়ে গিয়েছিল এবং সব ভিজে গিয়েছিল,Compound,2
যেহেতু সে চাকরি পছন্দ করেনি সেহেতু তিনি কাজ চালিয়ে গেছেন,Complex,1
যেহেতু আজ তার একটি পরীক্ষা আছে সেহেতু সে এতে অংশ নেয়নি,Complex,1
যেহেতু সোনা একজন ভালো নৃত্যশিল্পী সেহেতু একজন মহান গায়ক,Complex,1
যেহেতু রোহান খুব মেধাবী ছাত্র সেহেতু সে একটু দুষ্টু,Complex,1
যদিও আমি অনেক আগে লেখা শুরু করেছি তবুও আমি শেষ করিনি,Complex,1
যখন সে বৃষ্টিতে পড়ে গিয়েছিল তখন সব ভিজে গিয়েছিল,Complex,1
দল ভালো খেলেও ম্যাচ জিততে পারেনি,Simple,0
পিকনিক বাতিল করার কারনে আমাদের বাড়িতে ফিরে আসতে হয়েছিল,Simple,0
ফ্লাইট বিলম্বিত হওয়ার কারনে আমাদের মিটিং স্থগিত করতে হয়েছিল,Simple,0
আমাদের শিক্ষক খুব ভদ্র হওয়া স্বত্তেও তিনি মিথ্যা সহ্য করতে পারেন না,Simple,0
সাতটা বেজে যাওয়ার কারনে মিটিং শুরু হয়নি,Simple,0
দল ভালো খেললো কিন্তু ম্যাচ জিততে পারেনি,Compound,2
"পিকনিক বাতিল করা হয়েছিল, এবং আমাদের বাড়িতে ফিরে আসতে হয়েছিল",Compound,2
ফ্লাইট বিলম্বিত হয়েছিল এবং আমাদের মিটিং স্থগিত করতে হয়েছিল,Compound,2
"আমাদের শিক্ষক খুব ভদ্র, কিন্তু তিনি মিথ্যা সহ্য করতে পারেন না",Compound,2
সাতটা বেজে গেছে এবং সভা এখনও শুরু হয়নি,Compound,2
যদিও ভালো খেললো তবুও ম্যাচ জিততে পারেনি,Complex,1
যখন পিকনিক বাতিল করা হয়েছিল তখন আমাদের বাড়িতে ফিরে আসতে হয়েছিল,Complex,1
যখন ফ্লাইট বিলম্বিত হয়েছিল তখন আমাদের মিটিং স্থগিত করতে হয়েছিল,Complex,1
যেহেতু আমাদের শিক্ষক খুব ভদ্র সেহেতু তিনি মিথ্যা সহ্য করতে পারেন না,Complex,1
যেহেতু সাতটা বেজে গেছে সেহেতু সভা এখনও শুরু হয়নি,Complex,1
আপনি কঠোর পরিশ্রম করলে অবশ্যই সফল হবেন,Simple,0
আমি একটি সিনেমা দেখে শপিং করতে যাব,Simple,0
রেনু অলস হওয়া স্বত্বেও ক্লাসে প্রথম দাঁড়াতে সক্ষম,Simple,0
জরুরি অবস্থা থাকার কারনে আমরা আজ আপনার সাথে দেখা করতে পারিনি।,Simple,0
"আপনি কঠোর পরিশ্রম করেন, এবং অবশ্যই সফল হবেন",Compound,2
আমি একটি সিনেমা দেখব এবং শপিং করতে যাব,Compound,2
"রেনু ক্লাসে প্রথম দাঁড়াতে সক্ষম, কিন্তু সে অলস",Compound,2
জরুরি অবস্থা ছিল এবং আমরা আজ আপনার সাথে দেখা করতে পারিনি,Compound,2
যিনি কঠোর পরিশ্রম করেন তিনি অবশ্যই সফল হবেন,Complex,1
যখন আমি একটি সিনেমা দেখব তখন শপিং করতে যাব,Complex,1
যখন রেনু ক্লাসে প্রথম দাঁড়াতে সক্ষম তখন সে অলস,Complex,1
যখন জরুরি অবস্থা ছিল তখন আমরা আজ আপনার সাথে দেখা করতে পারিনি,Complex,1
আমরা চিড়িয়াখানায় গিয়ে সমস্ত প্রাণী দেখেছি,Simple,0
সৌরভ সদয় মানুষ হলেও দুষ্ট,Simple,0
চিনি শেষ হওয়ার কারনে আমাকে এটি কিনতে হয়েছিল,Simple,0
তিনি ফোন হারিয়েছেন বলেই বিরক্ত ছিলেন,Simple,0
তিনি আহত ছিলেন বলেই পার্টিতে যোগ দেননি,Simple,0
তার বয়স হলেও বুদ্ধি হয়নি,Simple,0
"আমরা চিড়িয়াখানায় গিয়েছিলাম, এবং সমস্ত প্রাণী দেখেছি",Compound,2
"সৌরভ একজন সদয় মনের মানুষ, এবং দুষ্ট",Compound,2
"চিনি শেষ হয়ে গেছে, এবং তাই আমাকে এটি কিনতে হয়েছিল",Compound,2
"তিনি ফোন হারিয়েছেন, এবং তাই তিনি বিরক্ত ছিলেন",Compound,2
"তিনি পার্টিতে যোগ দেননি, কারণ তিনি আহত ছিলেন",Compound,2
তার বয়স হয়েছে কিন্তু বুদ্ধি হয়নি,Compound,2
যখন আমরা চিড়িয়াখানায় গিয়েছিলাম তখন সমস্ত প্রাণী দেখেছি,Complex,1
যেহেতু সৌরভ একজন সদয় মনের মানুষ সেহেতু দুষ্ট,Complex,1
যখন চিনি শেষ হয়ে গেছে তখন আমাকে এটি কিনতে হয়েছিল,Complex,1
যখন তিনি ফোন হারিয়েছেন তখন তিনি বিরক্ত ছিলেন,Complex,1
"যখন তিনি পার্টিতে যোগ দেননি, তখন তিনি আহত ছিলেন",Complex,1
যদিও তার বয়স হয়েছে তবুও তার বুদ্ধি হয়নি,Complex,1
লোকটি ধনী হওয়া স্বত্তেও অসুখী,Simple,0
দুঃখ আসলে বিপদ আসে,Simple,0
তার অফিসে গিয়ে দেখা যায় তিনি অনুপস্থিত,Simple,0
পুলিশকে দেখে চোর পালিয়ে যায়,Simple,0
শিক্ষার্থীরা প্রধান শিক্ষককে দেখে ক্লাসে প্রবেশ করে,Simple,0
তিনি অলস হওয়ায় তিনি উন্নতি করতে পারেননি,Simple,0
লোকটি ধনী ও অসুখী,Compound,2
দুঃখ ও বিপদ একসঙ্গে আসে,Compound,2
আমরা তার অফিসে গিয়ে তাকে অনুপস্থিত দেখতে পাই,Compound,0
পুলিশকে দেখে এবং চোর পালিয়ে যায়।,Compound,2
শিক্ষার্থীরা প্রধান শিক্ষককে দেখে এবং ক্লাসে প্রবেশ করে,Compound,2
তিনি অলস হওয়ায়র ফলে উন্নতি করতে পারেননি,Compound,2
যেহতু লোকটি ধনী সেহেতু অসুখী,Complex,1
দুঃখও আসলে বিপদ আসে,Complex,0
যখন আমরা তার অফিসে যাই তখন তাকে অনুপস্থিত দেখতে পাই,Complex,1
যখন পুলিশকে দেখে তখন চোর পালিয়ে যায়।,Complex,1
যখন শিক্ষার্থীরা প্রধান শিক্ষককে দেখে তখন ক্লাসে প্রবেশ করে,Complex,1
যেহেতু তিনি অলস হওয়ায় সেহেতু তিনি উন্নতি করতে পারেননি,Complex,1
ক্লান্ত হয়ে তিনি যেতে রাজি হননি,Simple,0
আপনার চিঠি পেয়েছেন বলেই তিনি খুশি,Simple,0
বাসায় গিয়ে দেখি মা ঘুমাচ্ছে,Simple,0
কাজ সেরে বাড়ি চলে গেলেন,Simple,0
আমি অসুস্থ থাকায় সভায় উপস্থিত হতে পারিনি,Simple,0
তিনি ক্লান্ত ছিলেন এবং যেতে রাজি হননি,Compound,2
তিনি আপনার চিঠি পেয়েছেন এবং তিনি খুশি,Compound,2
বাসায় গেলাম এবং দেখলাম মা ঘুমাচ্ছে,Compound,2
কাজ সারলেন এবং বাড়ি চলে গেলেন,Compound,2
আমি অসুস্থ থাকার ফলে সভায় উপস্থিত হতে পারিনি,Compound,2
